"cue","target","normed","proportion"
"a","b","NO",0.454
"a","alphabet","YES",0.066
"a","the","NO",0.066
"a","grade","YES",0.059
"a","letter","YES",0.039
"a","plus","YES",0.033
"a","an","NO",0.026
"a","z","NO",0.02
"a","and","NO",0.013
"a","apple","YES",0.013
"a","great","YES",0.013
"a","one","YES",0.013
"a","word","YES",0.013
"aardvark","animal","YES",0.322
"aardvark","ant","YES",0.197
"aardvark","anteater","YES",0.059
"aardvark","pink panther","NO",0.026
"aardvark","music","YES",0.02
"aardvark","nose","YES",0.02
"aardvark","ugly","YES",0.02
"aardvark","confused","NO",0.013
"aardvark","dictionary","YES",0.013
"aardvark","fur","YES",0.013
"aardvark","road kill","NO",0.013
"aardvark","shell","YES",0.013
"aardvark","zoo","YES",0.013
"abdomen","stomach","YES",0.566
"abdomen","body","YES",0.072
"abdomen","muscle","YES",0.046
"abdomen","sit ups","NO",0.026
"abdomen","organ","YES",0.02
"abdomen","pain","YES",0.02
"abdomen","belly","YES",0.013
"abdomen","cramp","YES",0.013
"abdomen","crunches","NO",0.013
"abdomen","intestine","YES",0.013
"abdomen","sex","YES",0.013
"abdomen","six pack","NO",0.013
"abduct","kidnap","YES",0.453
"abduct","take","YES",0.18
"abduct","steal","YES",0.067
"abduct","alien","NO",0.047
"abduct","adduct","NO",0.04
"abduct","child","YES",0.02
"abduct","capture","YES",0.013
"abduct","harass","NO",0.013
"abduct","kidnapper","NO",0.013
"abduct","missing","YES",0.013
"abduct","open","YES",0.013
"ability","capability","YES",0.119
"ability","able","YES",0.077
"ability","competence","YES",0.063
"ability","skill","YES",0.056
"ability","strength","YES",0.056
"ability","inability","YES",0.042
"ability","power","YES",0.035
"ability","talent","YES",0.035
"ability","disability","NO",0.028
"ability","do","YES",0.021
"ability","potential","YES",0.021
"ability","athlete","YES",0.014
"ability","can","YES",0.014
"ability","capacity","YES",0.014
"ability","know how","NO",0.014
"ability","knowledge","YES",0.014
"ability","mind","YES",0.014
"ability","physical","YES",0.014
"ability","sport","YES",0.014
"ability","to","NO",0.014
"ability","unable","NO",0.014
"ability","work","YES",0.014
"able","willing","YES",0.264
"able","can","YES",0.196
"able","capable","NO",0.095
"able","unable","NO",0.095
"able","to","NO",0.047
"able","disabled","NO",0.027
"able","do","YES",0.027
"able","bodied","NO",0.02
"able","handicapped","NO",0.02
"able","strong","YES",0.02
"able","ability","YES",0.014
"able","cain","NO",0.014
"able","easy","YES",0.014
"able","ready","YES",0.014
"able","well","YES",0.014
"abnormal","normal","YES",0.281
"abnormal","weird","YES",0.216
"abnormal","strange","YES",0.108
"abnormal","different","YES",0.05
"abnormal","retarded","YES",0.036
"abnormal","crazy","YES",0.029
"abnormal","odd","YES",0.029
"abnormal","deformed","NO",0.014
"abnormal","insane","YES",0.014
"abnormal","me","YES",0.014
"abnormal","psychology","YES",0.014
"abnormal","uncommon","YES",0.014
"abnormal","unusual","YES",0.014
"above","below","YES",0.564
"above","beyond","YES",0.114
"above","up","YES",0.064
"above","high","YES",0.057
"above","over","YES",0.043
"above","top","YES",0.036
"above","average","YES",0.014
"above","cloud","YES",0.014
"above","sky","YES",0.014
"absence","good","YES",0.145
"absence","present","YES",0.099
"absence","missing","YES",0.086
"absence","sick","YES",0.079
"absence","presence","YES",0.059
"absence","tardy","YES",0.046
"absence","attendance","YES",0.039
"absence","not there","NO",0.033
"absence","away","YES",0.026
"absence","class","YES",0.026
"absence","here","YES",0.026
"absence","school","YES",0.02
"absence","alone","YES",0.013
"absence","empty","YES",0.013
"absence","excuse","YES",0.013
"absence","illness","YES",0.013
"absence","kids","YES",0.013
"absence","mind","YES",0.013
"absence","not","YES",0.013
"absence","void","YES",0.013
"absence","withdrawal","NO",0.013
"absence","without","YES",0.013
