uni_lemma,freq
you,11.72980142
the,11.30256239
it,10.99589731
a,10.94996409
to,10.85437293
i,10.82810353
what,10.78064237
that,10.67364207
and,10.64017304
is,10.44909134
do,10.41099769
in,10.24185086
oh,10.14948789
on,10.11755
this,10.01873404
that's,10.01480529
your,9.996157887
have,9.940494278
no,9.924074186
don't,9.886239659
he,9.804881949
there,9.791493976
one,9.786616601
are,9.752780935
of,9.712871693
right,9.687009239
know,9.676461474
it's,9.661543372
see,9.656627475
go,9.652972804
can,9.618468598
yeah,9.613268932
like,9.608579435
did,9.584796293
here,9.580937945
we,9.537555609
put,9.505395199
me,9.492507264
for,9.42577428
get,9.420277096
now,9.420033876
want,9.410911062
not,9.404013917
ok,9.393245092
with,9.383957488
all,9.382779929
she,9.357380115
was,9.349667437
what's,9.34940642
up,9.348100312
they,9.324739912
going,9.322954516
well,9.282847063
think,9.211839248
so,9.163772736
you're,9.163353581
just,9.145908512
good,9.133027269
look,9.127176131
at,9.10786458
uh,9.101306451
got,9.096611607
out,9.090768237
come,9.08375622
be,9.051696279
yes,9.050288984
okay,9.047115311
them,9.044521887
how,9.030735123
hmmm,8.981932991
where,8.945202264
but,8.923191491
some,8.91650608
then,8.914760527
her,8.903679333
i'm,8.896314324
if,8.874867636
down,8.839131753
little,8.819813136
my,8.806424064
why,8.800716629
when,8.771215062
about,8.758098072
him,8.72955887
uhh,8.717354666
he's,8.713582005
does,8.700347735
say,8.619388704
take,8.597482023
gonna,8.595634618
his,8.584103897
too,8.57998018
over,8.562931083
doing,8.544613787
back,8.543640361
i'll,8.539932678
would,8.510772624
very,8.498825534
because,8.498010372
there's,8.483222672
who,8.467372496
or,8.457655479
make,8.435766193
big,8.425735581
tell,8.417593826
off,8.413608875
didn't,8.377011161
let's,8.355850041
more,8.342125263
two,8.328451067
play,8.317766167
eat,8.283999304
can't,8.273846933
will,8.250881145
really,8.24407127
let,8.242229891
those,8.236420527
isn't,8.236155662
she's,8.221478947
were,8.204671829
had,8.19753874
time,8.194781638
they're,8.194229305
these,8.192016915
other,8.1285852
something,8.070906089
has,8.069342367
way,8.064636476
nice,8.058643712
said,8.056426768
another,8.047509511
where's,8.047509511
house,8.039802344
give,8.037866235
alright,8.019612794
wanna,7.995643604
doesn't,7.992944547
else,7.973844376
as,7.957527402
um,7.952966791
sit,7.951207156
could,7.930925372
boy,7.916807491
sure,7.911324019
an,7.90617884
baby,7.89469085
who's,7.892452044
from,7.890208213
any,7.883069351
wait,7.880048201
again,7.858254182
we'll,7.845416037
thank,7.832014181
girl,7.814803429
wee,7.80016307
school,7.789040402
away,7.788211558
daddy,7.781555959
maybe,7.757478767
goes,7.754052639
need,7.752764809
says,7.751905333
mommy,7.749322465
today,7.748460024
car,7.744569809
we're,7.740229525
thing,7.724888439
ah,7.724446646
book,7.722677516
which,7.722677516
mean,7.718685495
name,7.716906135
turn,7.711996507
show,7.686162303
better,7.680637428
things,7.676937146
went,7.641084249
here's,7.634820678
first,7.598399329
man,7.597897951
...,7.591357047
home,7.58781722
should,7.586296307
remember,7.568379268
happened,7.564238475
xx,7.562161631
ha,7.528331767
shall,7.527255919
three,7.51479976
day,7.495541944
kind,7.492203043
been,7.488293515
bed,7.477038472
find,7.477038472
ya,7.461065514
bit,7.453561872
won't,7.453561872
hey,7.449498005
hear,7.446585099
try,7.439559309
around,7.437795122
much,7.425357887
watch,7.413367336
people,7.412764017
you've,7.40731771
please,7.397561536
pretty,7.395721609
minute,7.39387829
adam,7.393263095
help,7.374629015
last,7.363913501
sarah,7.36264527
bring,7.361375429
you'll,7.349873705
into,7.347299701
dog,7.332369206
thought,7.323170718
only,7.321849714
mummy,7.31986493
